province_id,candidate_voting_number,candidate_id,candidate_name,candidate_surname,candidate_firstname,candidate_political_party,candidate_gender,province,candidate_votes,candidate_percentage,processed_polling_stations,expected_polling_stations,polling_stations_percentage,expected_voters,valid_votes,blank_votes,total_voters,voters_percentage
2,2.0,1_1_1_129_249,MUTAMBA,TUNGUNGA,CONSTANT,DYPRO,M,KONGO CENTRAL,600,0.08,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,20.0,1_1_1_143_263,TSHISEKEDI,TSHILOMBO,FELIX ANTOINE,INDEPENDANT,M,KONGO CENTRAL,735928,94.07,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,17.0,1_1_1_146_266,NGOY,ILUNGA WA NSENGA,THEODORE,INDEPENDANT,M,KONGO CENTRAL,191,0.02,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,21.0,1_1_1_137_257,FAYULU,MADIDI,MARTIN,LAMUKAFAYULU,M,KONGO CENTRAL,8544,1.09,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,19.0,1_1_1_141_261,TSHIANI K,MUADIAMVITA,NOEL,INDEPENDANT,M,KONGO CENTRAL,457,0.06,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,22.0,1_1_1_128_248,MATATA,PONYO,MAPON,LGD,M,KONGO CENTRAL,528,0.07,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,8.0,1_1_1_140_260,BUSE,FALAY,GEORGES,INDEPENDANT,M,KONGO CENTRAL,245,0.03,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,9.0,1_1_1_139_259,IFOKU,MPUTA MPUNGA,MARIE-JOSEE,INDEPENDANT,F,KONGO CENTRAL,914,0.12,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,24.0,1_1_1_133_253,MUZITO,FUMUTSHI,ADOLPHE,NOU.EL,M,KONGO CENTRAL,636,0.08,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,6.0,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M,KONGO CENTRAL,459,0.06,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
2,3.0,1_1_1_135_255,KATUMBI,CHAPWE,MOISE,ENSEMBLE,M,KONGO CENTRAL,22086,2.82,3607.0,3729.0,97.0,2067403.0,782304.0,930.0,783234.0,37.88
