province_id,ordre_bulletin,candidat_id,nom,postnom,prenom,sigle,sexe,province,voixobtenues,pour_cand,bv_traites,bv_attendus,pour_bv,electeurs_attendus,bulletins_valides,bulletins_blancs,total_votants,pour_votants,img
2,8,1_1_1_140_260,BUSE,FALAY,GEORGES,INDEPENDANT,M,Kongo Central,245,0.03,3607,3729,97,2067403,782304,930,783234,37.88,
2,9,1_1_1_139_259,IFOKU,MPUTA MPUNGA,MARIE-JOSEE,INDEPENDANT,F,Kongo Central,914,0.12,3607,3729,97,2067403,782304,930,783234,37.88,
2,24,1_1_1_133_253,MUZITO,FUMUTSHI,ADOLPHE,NOU.EL,M,Kongo Central,636,0.08,3607,3729,97,2067403,782304,930,783234,37.88,
2,6,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M,Kongo Central,459,0.06,3607,3729,97,2067403,782304,930,783234,37.88,
2,3,1_1_1_135_255,KATUMBI,CHAPWE,MOISE,ENSEMBLE,M,Kongo Central,22086,2.82,3607,3729,97,2067403,782304,930,783234,37.88,
2,13,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M,Kongo Central,847,0.11,3607,3729,97,2067403,782304,930,783234,37.88,
2,7,1_1_1_142_262,BOLAMBA,,TONY CASSIUS,INDEPENDANT,M,Kongo Central,374,0.05,3607,3729,97,2067403,782304,930,783234,37.88,
2,15,1_1_1_134_254,MUKWEGE,MUKENGERE,DENIS,INDEPENDANT,M,Kongo Central,616,0.08,3607,3729,97,2067403,782304,930,783234,37.88,
2,18,1_1_1_144_264,NKEMA LILOO,BOKONZI,LOLI,INDEPENDANT,M,Kongo Central,434,0.06,3607,3729,97,2067403,782304,930,783234,37.88,
2,5,1_1_1_145_265,ANZULUNI,ISILOKETSHI,FLORIBERT,INDEPENDANT,M,Kongo Central,691,0.09,3607,3729,97,2067403,782304,930,783234,37.88,
2,4,1_1_1_149_269,SESANGA,HIPUNGU DJA KASENG KAPITU,DELLY,ENVOL,M,Kongo Central,887,0.11,3607,3729,97,2067403,782304,930,783234,37.88,
2,25,1_1_1_152_272,BILE,BATALI,JOELLE,INDEPENDANT,F,Kongo Central,365,0.05,3607,3729,97,2067403,782304,930,783234,37.88,
2,12,1_1_1_151_271,MAJONDO,MWAMBA,PATRICE,INDEPENDANT,M,Kongo Central,775,0.1,3607,3729,97,2067403,782304,930,783234,37.88,
2,11,1_1_1_150_270,KIKUNI,MASUDI,SETH,INDEPENDANT,M,Kongo Central,322,0.04,3607,3729,97,2067403,782304,930,783234,37.88,
2,1,1_1_1_131_251,RADJABHO,TEBABHO,SOBORABO,CUC,M,Kongo Central,2036,0.26,3607,3729,97,2067403,782304,930,783234,37.88,
2,23,1_1_1_132_252,DIONGO,SHAMBA,FRANCK,MLP,M,Kongo Central,343,0.04,3607,3729,97,2067403,782304,930,783234,37.88,
3,19,1_1_1_141_261,TSHIANI K,MUADIAMVITA,NOEL,INDEPENDANT,M,Kwango,290,0.05,2109,2380,89,994679,631247,1051,632298,63.57,
3,7,1_1_1_142_262,BOLAMBA,,TONY CASSIUS,INDEPENDANT,M,Kwango,100,0.02,2109,2380,89,994679,631247,1051,632298,63.57,
3,6,1_1_1_148_268,BAENDE,ETAFE ELIKO,JEAN CLAUDE,INDEPENDANT,M,Kwango,177,0.03,2109,2380,89,994679,631247,1051,632298,63.57,
3,9,1_1_1_139_259,IFOKU,MPUTA MPUNGA,MARIE-JOSEE,INDEPENDANT,F,Kwango,357,0.06,2109,2380,89,994679,631247,1051,632298,63.57,
3,8,1_1_1_140_260,BUSE,FALAY,GEORGES,INDEPENDANT,M,Kwango,108,0.02,2109,2380,89,994679,631247,1051,632298,63.57,
3,14,1_1_1_138_258,MUDEKEREZA,BISIMWA,JUSTIN,INDEPENDANT,M,Kwango,229,0.04,2109,2380,89,994679,631247,1051,632298,63.57,
3,4,1_1_1_149_269,SESANGA,HIPUNGU DJA KASENG KAPITU,DELLY,ENVOL,M,Kwango,558,0.09,2109,2380,89,994679,631247,1051,632298,63.57,
3,13,1_1_1_147_267,MASALU,ANEDU,ANDRE,INDEPENDANT,M,Kwango,432,0.07,2109,2380,89,994679,631247,1051,632298,63.57,
3,22,1_1_1_128_248,MATATA,PONYO,MAPON,LGD,M,Kwango,450,0.07,2109,2380,89,994679,631247,1051,632298,63.57,
3,17,1_1_1_146_266,NGOY,ILUNGA WA NSENGA,THEODORE,INDEPENDANT,M,Kwango,99,0.02,2109,2380,89,994679,631247,1051,632298,63.57,
