province_id,ordre_bulletin,candidat_id,nom,sigle,sexe,province,voixobtenues,pour_cand,bv_traites,bv_attendus,pour_bv,electeurs_attendus,bulletins_valides,bulletins_blancs,total_votants,pour_votants,postnom,prenom,img
2,8,1_1_1_140_260,BUSE,INDEPENDANT,M,Kongo Central,245,0.03,3607,3729,97,2067403,782304,930,783234,37.88,FALAY,GEORGES,
2,9,1_1_1_139_259,IFOKU,INDEPENDANT,F,Kongo Central,914,0.12,3607,3729,97,2067403,782304,930,783234,37.88,MPUTA MPUNGA,MARIE-JOSEE,
2,24,1_1_1_133_253,MUZITO,NOU.EL,M,Kongo Central,636,0.08,3607,3729,97,2067403,782304,930,783234,37.88,FUMUTSHI,ADOLPHE,
2,6,1_1_1_148_268,BAENDE,INDEPENDANT,M,Kongo Central,459,0.06,3607,3729,97,2067403,782304,930,783234,37.88,ETAFE ELIKO,JEAN CLAUDE,
2,3,1_1_1_135_255,KATUMBI,ENSEMBLE,M,Kongo Central,22086,2.82,3607,3729,97,2067403,782304,930,783234,37.88,CHAPWE,MOISE,
2,13,1_1_1_147_267,MASALU,INDEPENDANT,M,Kongo Central,847,0.11,3607,3729,97,2067403,782304,930,783234,37.88,ANEDU,ANDRE,
2,7,1_1_1_142_262,BOLAMBA,INDEPENDANT,M,Kongo Central,374,0.05,3607,3729,97,2067403,782304,930,783234,37.88,,TONY CASSIUS,
2,15,1_1_1_134_254,MUKWEGE,INDEPENDANT,M,Kongo Central,616,0.08,3607,3729,97,2067403,782304,930,783234,37.88,MUKENGERE,DENIS,
2,18,1_1_1_144_264,NKEMA LILOO,INDEPENDANT,M,Kongo Central,434,0.06,3607,3729,97,2067403,782304,930,783234,37.88,BOKONZI,LOLI,
2,5,1_1_1_145_265,ANZULUNI,INDEPENDANT,M,Kongo Central,691,0.09,3607,3729,97,2067403,782304,930,783234,37.88,ISILOKETSHI,FLORIBERT,
2,4,1_1_1_149_269,SESANGA,ENVOL,M,Kongo Central,887,0.11,3607,3729,97,2067403,782304,930,783234,37.88,HIPUNGU DJA KASENG KAPITU,DELLY,
2,25,1_1_1_152_272,BILE,INDEPENDANT,F,Kongo Central,365,0.05,3607,3729,97,2067403,782304,930,783234,37.88,BATALI,JOELLE,
2,12,1_1_1_151_271,MAJONDO,INDEPENDANT,M,Kongo Central,775,0.1,3607,3729,97,2067403,782304,930,783234,37.88,MWAMBA,PATRICE,
2,11,1_1_1_150_270,KIKUNI,INDEPENDANT,M,Kongo Central,322,0.04,3607,3729,97,2067403,782304,930,783234,37.88,MASUDI,SETH,
2,1,1_1_1_131_251,RADJABHO,CUC,M,Kongo Central,2036,0.26,3607,3729,97,2067403,782304,930,783234,37.88,TEBABHO,SOBORABO,
2,23,1_1_1_132_252,DIONGO,MLP,M,Kongo Central,343,0.04,3607,3729,97,2067403,782304,930,783234,37.88,SHAMBA,FRANCK,
3,19,1_1_1_141_261,TSHIANI K,INDEPENDANT,M,Kwango,290,0.05,2109,2380,89,994679,631247,1051,632298,63.57,MUADIAMVITA,NOEL,
3,7,1_1_1_142_262,BOLAMBA,INDEPENDANT,M,Kwango,100,0.02,2109,2380,89,994679,631247,1051,632298,63.57,,TONY CASSIUS,
3,6,1_1_1_148_268,BAENDE,INDEPENDANT,M,Kwango,177,0.03,2109,2380,89,994679,631247,1051,632298,63.57,ETAFE ELIKO,JEAN CLAUDE,
3,9,1_1_1_139_259,IFOKU,INDEPENDANT,F,Kwango,357,0.06,2109,2380,89,994679,631247,1051,632298,63.57,MPUTA MPUNGA,MARIE-JOSEE,
3,8,1_1_1_140_260,BUSE,INDEPENDANT,M,Kwango,108,0.02,2109,2380,89,994679,631247,1051,632298,63.57,FALAY,GEORGES,
3,14,1_1_1_138_258,MUDEKEREZA,INDEPENDANT,M,Kwango,229,0.04,2109,2380,89,994679,631247,1051,632298,63.57,BISIMWA,JUSTIN,
3,4,1_1_1_149_269,SESANGA,ENVOL,M,Kwango,558,0.09,2109,2380,89,994679,631247,1051,632298,63.57,HIPUNGU DJA KASENG KAPITU,DELLY,
3,13,1_1_1_147_267,MASALU,INDEPENDANT,M,Kwango,432,0.07,2109,2380,89,994679,631247,1051,632298,63.57,ANEDU,ANDRE,
3,22,1_1_1_128_248,MATATA,LGD,M,Kwango,450,0.07,2109,2380,89,994679,631247,1051,632298,63.57,PONYO,MAPON,
3,17,1_1_1_146_266,NGOY,INDEPENDANT,M,Kwango,99,0.02,2109,2380,89,994679,631247,1051,632298,63.57,ILUNGA WA NSENGA,THEODORE,
3,2,1_1_1_129_249,MUTAMBA,DYPRO,M,Kwango,278,0.04,2109,2380,89,994679,631247,1051,632298,63.57,TUNGUNGA,CONSTANT,
3,26,1_1_1_153_273,NGILA,INDEPENDANT,M,Kwango,187,0.03,2109,2380,89,994679,631247,1051,632298,63.57,,HENOCK,
3,10,1_1_1_130_250,KAZADI,INDEPENDANT,M,Kwango,107,0.02,2109,2380,89,994679,631247,1051,632298,63.57,KANDA,REX,
3,1,1_1_1_131_251,RADJABHO,CUC,M,Kwango,516,0.08,2109,2380,89,994679,631247,1051,632298,63.57,TEBABHO,SOBORABO,
3,5,1_1_1_145_265,ANZULUNI,INDEPENDANT,M,Kwango,283,0.04,2109,2380,89,994679,631247,1051,632298,63.57,ISILOKETSHI,FLORIBERT,
3,23,1_1_1_132_252,DIONGO,MLP,M,Kwango,246,0.04,2109,2380,89,994679,631247,1051,632298,63.57,SHAMBA,FRANCK,
