province_id,province
1,KINSHASA
2,KONGO CENTRAL
3,KWANGO
4,KWILU
5,MAI-NDOMBE
6,EQUATEUR
7,NORD-UBANGI
8,SUD-UBANGI
9,MONGALA
10,TSHUAPA
11,TSHOPO
12,BAS-UELE
13,HAUT-UELE
14,ITURI
15,NORD-KIVU
16,SUD-KIVU
17,MANIEMA
18,HAUT-KATANGA
19,HAUT-LOMAMI
20,LUALABA
21,TANGANYIKA
22,LOMAMI
23,SANKURU
24,KASAI ORIENTAL
25,KASAI
26,KASAI CENTRAL
27,AFRIQUE DU SUD
28,BELGIQUE
29,CANADA
30,ETATS - UNIS D'AMERIQUE
31,FRANCE
